PartNum,RevisionNum,MtlPartNum,ReqDueDate,TotalRemainingQty,TotalRequiredQty,TotalOnHandQty,TotalRelQty,DemandLeadTime
1000 7884,7,4801 0675,2015-10-05,5.0,10.0,52479.0,0.0,0
1000 7884,7,4801 0678,2015-10-05,5.0,5.0,14293.0,6000.0,0
1000 7884,7,4801 1321,2015-10-05,5.0,5.0,19511.0,0.0,0
1000 7884,7,4801 1402,2015-10-05,15.0,15.0,24234.0,9000.0,0
1000 7884,7,4801 2436,2015-10-05,5.0,25.0,21169.0,0.0,0
1000 7884,7,4801 2684,2015-10-05,5.0,10.0,9709.0,0.0,0
1000 7884,7,4801 2686,2015-10-05,5.0,5.0,8740.0,3000.0,0
1000 7884,7,4801 2687,2015-10-05,5.0,5.0,13387.0,0.0,0
1000 7884,7,4801 2933,2015-10-05,5.0,10.0,11475.0,0.0,0
1000 7884,7,5000 0543,2015-10-05,5.0,5.0,0.0,0.0,0
1000 7884,7,5601 0045,2015-10-05,15.0,15.0,22074.0,6000.0,0
1000 7884,7,6000 1410,2015-10-05,5.0,5.0,81.0,300.0,0
1000 7884,7,PROGLABOR-0.32,2015-10-05,5.0,5.0,0.0,0.0,0
1000 5642,D,1501 5263,2015-11-05,17.0,34.0,11929.0,0.0,0
1000 5642,D,1501 5264,2015-11-05,17.0,238.0,22989.0,0.0,0
1000 5642,D,1501 5265,2015-11-05,136.0,6528.0,1294504.0,500000.0,0
1000 5642,D,1501 5266,2015-11-05,17.0,119.0,8614.0,0.0,0
1000 5642,D,1501 5267,2015-11-05,17.0,34.0,13169.0,0.0,0
1000 5642,D,1501 5268,2015-11-05,17.0,17.0,10667.0,0.0,0
1000 5642,D,1501 5269,2015-11-05,17.0,17.0,9667.0,0.0,0
1000 5642,D,1501 5270,2015-11-05,17.0,34.0,3996.0,0.0,0
1000 5642,D,1501 5271,2015-11-05,17.0,17.0,11106.0,0.0,0
1000 5642,D,1501 5272,2015-11-05,17.0,17.0,11174.0,0.0,0
1000 5642,D,1501 5273,2015-11-05,17.0,17.0,10005.0,0.0,0
1000 5642,D,1501 5274,2015-11-05,17.0,34.0,14522.0,0.0,0
1000 5642,D,1501 5275,2015-11-05,17.0,255.0,25796.0,0.0,0
1000 5642,D,1501 5276,2015-11-05,17.0,34.0,5947.0,0.0,0
1000 5642,D,1501 5277,2015-11-05,17.0,68.0,24544.0,0.0,0
1000 5642,D,1501 5279,2015-11-05,17.0,102.0,15177.0,0.0,0
1000 5642,D,1501 5280,2015-11-05,17.0,34.0,6132.0,0.0,0
1000 5642,D,1501 5281,2015-11-05,17.0,34.0,1899.0,0.0,0
1000 5642,D,1501 5299,2015-11-05,17.0,17.0,4874.0,0.0,0
1000 5642,D,1501 5318,2015-11-05,17.0,34.0,7924.0,0.0,0
1000 5642,D,1501 5319,2015-11-05,17.0,17.0,2236.0,0.0,0
1000 5642,D,1501 5320,2015-11-05,17.0,17.0,12372.0,0.0,0
1000 5642,D,1601 2876,2015-11-05,17.0,1.0,0.0,0.0,0
1000 5642,D,1700 2226,2015-11-05,17.0,17.0,466.0,0.0,0
1000 5642,D,1801 1419,2015-11-05,17.0,34.0,4576.0,0.0,0
1000 5642,D,1801 1420,2015-11-05,17.0,34.0,7792.0,0.0,0
1000 5642,D,1801 1421,2015-11-05,17.0,17.0,9559.0,0.0,0
1000 5642,D,1801 1422,2015-11-05,17.0,17.0,3581.0,10000.0,0
1000 5642,D,1801 1423,2015-11-05,17.0,17.0,3636.0,0.0,0
1000 5642,D,1801 1424,2015-11-05,17.0,34.0,3975.0,0.0,0
1000 5642,D,1801 1434,2015-11-05,17.0,17.0,13283.0,0.0,0
1000 5642,D,1801 1435,2015-11-05,17.0,17.0,3594.0,0.0,0
1000 5642,D,1801 1436,2015-11-05,17.0,17.0,3206.0,0.0,0
1000 5642,D,1801 1437,2015-11-05,17.0,17.0,797.0,0.0,0
1000 5642,D,2101 0833,2015-11-05,17.0,34.0,4495.0,0.0,0
1000 5642,D,2101 0844,2015-11-05,17.0,17.0,6332.0,0.0,0
1000 5642,D,2301 0334,2015-11-05,17.0,17.0,1756.0,0.0,0
1000 5642,D,2301 0335,2015-11-05,17.0,17.0,2394.0,0.0,0
1000 5642,D,2301 0336,2015-11-05,17.0,17.0,2274.0,0.0,0
1000 5642,D,2301 0337,2015-11-05,17.0,17.0,2309.0,0.0,0
1000 5642,D,2301 0340,2015-11-05,17.0,17.0,985.0,0.0,0
1000 5642,D,2500 0187,2015-11-05,17.0,34.0,1528.0,0.0,0
1000 5642,D,2701 0016,2015-11-05,17.0,17.0,4950.0,0.0,0
1000 5642,D,2825 1311,2015-11-05,17.0,17.0,2670.0,0.0,0
1000 5642,D,2825 1312,2015-11-05,17.0,0.043,4.01082,0.0,0
1000 5642,D,3131 5443,2015-11-05,17.0,17.0,2393.0,0.0,0
1000 5642,D,3131 5444,2015-11-05,17.0,51.0,5059.0,0.0,0
1000 5642,D,3131 5445,2015-11-05,17.0,17.0,3402.0,0.0,0
1000 5642,D,3131 5446,2015-11-05,17.0,34.0,3916.0,0.0,0
1000 5642,D,3131 5447,2015-11-05,17.0,17.0,2785.0,0.0,0
1000 5642,D,3131 5448,2015-11-05,17.0,17.0,4306.0,0.0,0
1000 5642,D,3131 5449,2015-11-05,17.0,17.0,2159.0,1000.0,0
1000 5642,D,3131 5450,2015-11-05,17.0,17.0,4245.0,0.0,0
1000 5642,D,3131 5451,2015-11-05,17.0,17.0,3240.0,2000.0,0
1000 5642,D,3131 5452,2015-11-05,34.0,34.0,12548.0,9000.0,0
1000 5642,D,3131 5453,2015-11-05,17.0,17.0,17561.0,0.0,0
1000 5642,D,3131 5454,2015-11-05,17.0,17.0,19375.0,0.0,0
1000 5642,D,3131 5455,2015-11-05,17.0,17.0,19708.0,0.0,0
1000 5642,D,3131 5456,2015-11-05,17.0,68.0,11825.0,0.0,0
1000 5642,D,3131 5457,2015-11-05,51.0,51.0,7161.0,1890.0,0
1000 5642,D,3131 5458,2015-11-05,17.0,17.0,15155.0,0.0,0
1000 5642,D,3131 5459,2015-11-05,17.0,17.0,1429.0,0.0,0
1000 5642,D,3131 5497,2015-11-05,17.0,17.0,2132.0,0.0,0
1000 5642,D,3131 5498,2015-11-05,17.0,17.0,418.0,0.0,0
1000 5642,D,4525 0083,2015-11-05,34.0,34.0,18338.0,0.0,0
1000 5642,D,4525 0084,2015-11-05,17.0,17.0,2851.0,5000.0,0
1000 5642,D,4701 9538,2015-11-05,17.0,238.0,150105.0,0.0,0
1000 5642,D,4701 9539,2015-11-05,17.0,51.0,24452.0,10000.0,0
1000 5642,D,4701 9540,2015-11-05,17.0,17.0,1344.0,10000.0,0
1000 5642,D,4701 9541,2015-11-05,17.0,17.0,5628.0,0.0,0
1000 5642,D,4701 9542,2015-11-05,17.0,68.0,42277.0,0.0,0
1000 5642,D,4701 9543,2015-11-05,17.0,170.0,61117.0,0.0,0
1000 5642,D,4701 9544,2015-11-05,17.0,85.0,69393.0,0.0,0
1000 5642,D,4701 9545,2015-11-05,17.0,17.0,17795.0,0.0,0
1000 5642,D,4701 9546,2015-11-05,17.0,289.0,26345.0,0.0,0
1000 5642,D,4701 9547,2015-11-05,17.0,17.0,9262.0,0.0,0
1000 5642,D,4701 9548,2015-11-05,17.0,34.0,6743.0,20000.0,0
1000 5642,D,4701 9549,2015-11-05,17.0,17.0,4984.0,0.0,0
1000 5642,D,4701 9550,2015-11-05,17.0,17.0,14573.0,0.0,0
1000 5642,D,4701 9551,2015-11-05,17.0,17.0,19503.0,0.0,0
1000 5642,D,4701 9552,2015-11-05,17.0,17.0,7608.0,0.0,0
1000 5642,D,4701 9553,2015-11-05,17.0,17.0,19481.0,0.0,0
1000 5642,D,4701 9554,2015-11-05,17.0,17.0,9776.0,0.0,0
1000 5642,D,4701 9555,2015-11-05,17.0,17.0,20345.0,0.0,0
1000 5642,D,4701 9556,2015-11-05,17.0,34.0,3489.0,0.0,0
1000 5642,D,4701 9557,2015-11-05,17.0,51.0,12135.0,0.0,0
1000 5642,D,4701 9558,2015-11-05,17.0,51.0,7720.0,0.0,0
1000 5642,D,4701 9559,2015-11-05,17.0,17.0,9368.0,0.0,0
1000 5642,D,4701 9560,2015-11-05,17.0,17.0,10521.0,0.0,0
1000 5642,D,4701 9561,2015-11-05,17.0,17.0,4525.0,0.0,0
1000 5642,D,4701 9562,2015-11-05,17.0,34.0,6676.0,0.0,0
1000 5642,D,4701 9563,2015-11-05,17.0,102.0,50962.0,0.0,0
1000 5642,D,4701 9603,2015-11-05,17.0,17.0,2997.0,0.0,0
1000 5642,D,4701 9604,2015-11-05,17.0,17.0,9892.0,0.0,0
1000 5642,D,4701 9605,2015-11-05,17.0,17.0,3745.0,0.0,0
1000 5642,D,4701 9606,2015-11-05,17.0,17.0,3507.0,0.0,0
1000 5642,D,4801 2856,2015-11-05,17.0,17.0,4308.0,0.0,0
1000 5642,D,4801 2857,2015-11-05,17.0,17.0,4333.0,0.0,0
1000 5642,D,5000 0750,2015-11-05,17.0,17.0,0.0,0.0,0
1000 5642,D,5000 0754,2015-11-05,17.0,17.0,0.0,0.0,0
1000 5642,D,6000 0842,2015-11-05,17.0,17.0,1302.0,0.0,0
1000 5642,D,6000 0846,2015-11-05,17.0,17.0,1217.0,0.0,0
1000 7893,A,1500 0961,2015-11-25,7.0,63.0,3764.0,0.0,0
1000 7893,A,1500 0970,2015-11-25,14.0,56.0,6626.0,5358.0,0
1000 7893,A,1500 1894,2015-11-25,7.0,70.0,2563.0,3432.0,0
1000 7893,A,1600 1789,2015-11-25,7.0,2.338,0.0,0.0,0
1000 7893,A,1600 2241,2015-11-25,7.0,7.0,0.0,0.0,0
1000 7893,A,1700 1952,2015-11-25,7.0,7.0,688.0,200.0,0
1000 7893,A,1800 0495,2015-11-25,49.0,98.0,3536.0,1900.0,0
1000 7893,A,2100 1601,2015-11-25,7.0,21.0,12665.99982,0.0,0
1000 7893,A,2100 2502,2015-11-25,7.0,7.0,334.0,0.0,0
1000 7893,A,2500 0699,2015-11-25,7.0,14.0,2183.0,0.0,0
1000 7893,A,2500 0706,2015-11-25,28.0,168.0,104388.0,26000.0,0
1000 7893,A,2500 0715,2015-11-25,7.0,14.0,6338.0,0.0,0
1000 7893,A,2500 0716,2015-11-25,7.0,14.0,4770.0,0.0,0
1000 7893,A,2500 0718,2015-11-25,7.0,7.0,13785.0,0.0,0
1000 7893,A,2825 0992,2015-11-25,7.0,28.0,14877.0,4000.0,0
1000 7893,A,2825 1007,2015-11-25,7.0,28.0,37851.0,0.0,0
1000 7893,A,3300 0822,2015-11-25,7.0,7.0,0.0,0.0,0
1000 7893,A,3300 0856,2015-11-25,7.0,1.4,0.0,0.0,0
1000 7893,A,3300 0859,2015-11-25,7.0,1.4,0.0,0.0,0
1000 7893,A,4700 1456,2015-11-25,7.0,7.0,3695.0,0.0,0
1000 7893,A,4700 1457,2015-11-25,7.0,14.0,2270.0,0.0,0
1000 7893,A,5000 0158,2015-11-25,7.0,7.0,388530.0,50000.0,0
1000 7893,A,5000 0172,2015-11-25,7.0,0.98,0.0,10000.0,0
1000 7893,A,5000 0433,2015-11-25,7.0,7.0,0.0,20000.0,0
1000 7893,A,5600 0437,2015-11-25,49.0,49.0,12915.0,3400.0,0
1000 7639,C,1601 2876,2015-12-07,2.0,18.0,0.0,0.0,0
1000 7382,1.43A,1601 2876,2016-01-11,2877.0,123.0,0.0,0.0,0
1000 70199,1,1400 0654,2016-02-08,18.0,6.0,15165.0,6000.0,0
1000 70199,1,1500 1249,2016-02-08,6.0,2.0,4419.0,0.0,0
1000 70199,1,1500 1853,2016-02-08,6.0,2.0,3354.0,0.0,0
1000 70199,1,1500 1854,2016-02-08,6.0,2.0,4755.0,0.0,0
1000 70199,1,1501 2701,2016-02-08,6.0,22.0,33448.0,0.0,0
1000 70199,1,1501 4048,2016-02-08,6.0,4.0,2907.0,0.0,0
1000 70199,1,1501 4405,2016-02-08,6.0,4.0,5694.0,0.0,0
1000 70199,1,1501 4407,2016-02-08,6.0,8.0,8457.0,0.0,0
1000 70199,1,1501 4410,2016-02-08,6.0,4.0,2100.0,0.0,0
1000 70199,1,1501 4411,2016-02-08,6.0,4.0,1904.0,0.0,0
1000 70199,1,1501 4413,2016-02-08,6.0,2.0,3727.0,0.0,0
1000 70199,1,1501 4414,2016-02-08,6.0,4.0,4795.0,0.0,0
1000 70199,1,1501 4417,2016-02-08,6.0,2.0,1255.0,0.0,0
1000 70199,1,1501 7167,2016-02-08,6.0,6.0,7489.0,0.0,0
1000 70199,1,1501 7168,2016-02-08,12.0,56.0,31686.0,8000.0,0
1000 70199,1,1700 2916,2016-02-08,6.0,2.0,705.0,0.0,0
1000 70199,1,1801 0628,2016-02-08,6.0,2.0,1251.0,0.0,0
1000 70199,1,2100 1976,2016-02-08,6.0,0.34,713.637,0.0,0
1000 70199,1,2100 1979,2016-02-08,6.0,4.0,7252.0,0.0,0
1000 70199,1,2100 2847,2016-02-08,6.0,2.0,3618.0,0.0,0
1000 70199,1,2100 2848,2016-02-08,6.0,2.0,6178.0,0.0,0
1000 70199,1,2100 2849,2016-02-08,6.0,2.0,5044.0,1147.0,0
1000 70199,1,2100 2850,2016-02-08,12.0,4.0,8362.0,4000.0,0
1000 70199,1,2100 2853,2016-02-08,6.0,4.0,6839.0,0.0,0
1000 70199,1,2100 2854,2016-02-08,6.0,2.0,3888.0,0.0,0
1000 70199,1,2100 4386,2016-02-08,6.0,2.0,80.0,0.0,0
1000 70199,1,2150 0382,2016-02-08,12.0,4.0,8686.0,4000.0,0
1000 70199,1,2150 0383,2016-02-08,6.0,2.0,4554.0,0.0,0
1000 70199,1,2400 0539,2016-02-08,6.0,2.0,5400.0,0.0,0
1000 70199,1,2400 0542,2016-02-08,6.0,2.0,0.0,0.0,0
1000 70199,1,2400 0547,2016-02-08,6.0,2.0,5130.0,0.0,0
1000 70199,1,2500 1009,2016-02-08,6.0,8.0,12310.0,0.0,0
1000 70199,1,2500 1012,2016-02-08,6.0,8.0,15388.0,0.0,0
1000 70199,1,2500 1062,2016-02-08,6.0,2.0,6297.0,3500.0,0
1000 70199,1,2500 1063,2016-02-08,6.0,2.0,6941.0,3500.0,0
1000 70199,1,2825 2250,2016-02-08,6.0,16.0,2093.0,0.0,0
1000 70199,1,3130 1346,2016-02-08,6.0,2.0,999.0,0.0,0
1000 70199,1,3131 3543,2016-02-08,6.0,2.0,2803.0,0.0,0
1000 70199,1,3131 3545,2016-02-08,6.0,2.0,2500.0,0.0,0
1000 70199,1,3131 4612,2016-02-08,6.0,2.0,1795.0,0.0,0
1000 70199,1,3131 4614,2016-02-08,6.0,2.0,1754.0,0.0,0
1000 70199,1,3131 4617,2016-02-08,6.0,2.0,2271.0,0.0,0
1000 70199,1,3131 8218,2016-02-08,6.0,2.0,193.0,0.0,0
1000 70199,1,3131 8263,2016-02-08,6.0,2.0,2037.0,0.0,0
1000 70199,1,3300 1020,2016-02-08,6.0,2.0,0.0,0.0,0
1000 70199,1,3701 0511,2016-02-08,6.0,2.0,3407.0,0.0,0
1000 70199,1,4301 0445,2016-02-08,6.0,6.0,7582.0,3000.0,0
1000 70199,1,4301 0446,2016-02-08,6.0,2.0,1412.0,1000.0,0
1000 70199,1,4500 0449,2016-02-08,6.0,4.0,7402.0,0.0,0
1000 70199,1,4500 0450,2016-02-08,24.0,8.0,15756.0,3000.0,0
1000 70199,1,4700 2462,2016-02-08,6.0,4.0,9874.0,0.0,0
1000 70199,1,4700 2463,2016-02-08,6.0,2.0,4452.0,0.0,0
1000 70199,1,4700 2465,2016-02-08,6.0,4.0,13666.0,5000.0,0
1000 70199,1,4701 4978,2016-02-08,6.0,4.0,3835.0,0.0,0
1000 70199,1,4701 4982,2016-02-08,6.0,8.0,9505.0,0.0,0
1000 70199,1,4701 4983,2016-02-08,6.0,4.0,13367.0,0.0,0
1000 70199,1,4701 4994,2016-02-08,6.0,16.0,18082.0,0.0,0
1000 70199,1,4701 7459,2016-02-08,6.0,4.0,11718.0,0.0,0
1000 70199,1,4701 7460,2016-02-08,6.0,2.0,4697.0,0.0,0
1000 70199,1,4701 7461,2016-02-08,6.0,8.0,9236.0,0.0,0
1000 70199,1,4701 7462,2016-02-08,6.0,2.0,9071.0,0.0,0
1000 70199,1,4701 7463,2016-02-08,6.0,4.0,3757.0,0.0,0
1000 70199,1,4701 7464,2016-02-08,6.0,4.0,8945.0,0.0,0
1000 70199,1,4701 7465,2016-02-08,6.0,4.0,7526.0,0.0,0
1000 70199,1,4701 7466,2016-02-08,6.0,22.0,23031.0,0.0,0
1000 70199,1,4701 7468,2016-02-08,6.0,4.0,3388.0,0.0,0
1000 70199,1,4701 7469,2016-02-08,6.0,4.0,12852.0,0.0,0
1000 70199,1,4701 7472,2016-02-08,6.0,2.0,12576.0,0.0,0
1000 70199,1,4701 7475,2016-02-08,6.0,2.0,13729.0,0.0,0
1000 70199,1,4701 7476,2016-02-08,6.0,10.0,8507.0,0.0,0
1000 70199,1,4701 7787,2016-02-08,6.0,4.0,11203.0,0.0,0
1000 70199,1,4701 8151,2016-02-08,6.0,32.0,28343.0,0.0,0
1000 70199,1,4701 8152,2016-02-08,6.0,2.0,7285.0,0.0,0
1000 70199,1,4701 8153,2016-02-08,6.0,2.0,4974.0,0.0,0
1000 70199,1,4701 8154,2016-02-08,6.0,4.0,9221.0,0.0,0
1000 70199,1,4701 8160,2016-02-08,6.0,2.0,5357.0,0.0,0
1000 70199,1,4701 8161,2016-02-08,6.0,8.0,8554.0,0.0,0
1000 70199,1,4801 1446,2016-02-08,6.0,14.0,18391.0,15000.0,0
1000 70199,1,4801 1448,2016-02-08,6.0,14.0,15994.0,0.0,0
1000 70199,1,4801 1449,2016-02-08,6.0,6.0,3360.0,0.0,0
1000 70199,1,4801 2535,2016-02-08,6.0,2.0,2615.0,0.0,0
1000 70199,1,4801 2536,2016-02-08,6.0,4.0,3019.0,0.0,0
1000 70199,1,4801 2537,2016-02-08,6.0,4.0,7391.0,0.0,0
1000 70199,1,4801 2538,2016-02-08,6.0,8.0,2793.0,0.0,0
1000 70199,1,5000 0520,2016-02-08,6.0,2.0,0.0,0.0,0
1000 70199,1,5000 0676,2016-02-08,6.0,2.0,0.0,0.0,0
1000 70199,1,5000 2007,2016-02-08,6.0,2.0,0.0,0.0,0
1000 70199,1,8300 0638,2016-02-08,6.0,2.0,2731.0,0.0,0
1000 70199,1,8300 0740,2016-02-08,6.0,2.0,280.0,0.0,0
1000 7518,A,1601 2876,2016-02-22,1.0,199.0,0.0,0.0,0
1000 7519,A,1601 2876,2016-02-22,2.0,40.0,0.0,0.0,0
1000 90125,A,1000 70203,2016-02-26,41.0,41.0,180.0,0.0,0
1000 90125,A,1400 0886,2016-02-26,41.0,41.0,2826.0,0.0,0
1000 90125,A,1400 0887,2016-02-26,41.0,41.0,2351.0,0.0,0
1000 90125,A,2400 0629,2016-02-26,82.0,82.0,6754.0,0.0,0
1000 90125,A,2400 0630,2016-02-26,41.0,82.0,7765.0,0.0,0
1000 90125,A,2400 0827,2016-02-26,41.0,41.0,2516.0,0.0,0
1000 90125,A,2500 1452,2016-02-26,41.0,41.0,6344.0,0.0,0
1000 90125,A,2500 1991,2016-02-26,41.0,41.0,7179.0,0.0,0
1000 90125,A,2825 2002,2016-02-26,41.0,41.0,3157.0,0.0,0
1000 90125,A,3300 1771,2016-02-26,41.0,41.0,0.0,0.0,0
1000 90125,A,3300 1970,2016-02-26,41.0,41.0,0.0,27.0,0
1000 90125,A,3300 1971,2016-02-26,41.0,8.2,0.0,50.0,0
1000 90125,A,3300 1995,2016-02-26,41.0,41.0,0.0,396.0,0
1000 90125,A,5000 0269,2016-02-26,41.0,41.0,0.0,20000.0,0
1000 90125,A,5000 0545,2016-02-26,82.0,82.0,0.0,10000.0,0
1000 90125,A,5000 0628,2016-02-26,41.0,41.0,0.0,0.0,0
1000 90125,A,6000 1447,2016-02-26,41.0,41.0,4905.0,0.0,0
1000 90125,A,8300 0486,2016-02-26,41.0,41.0,3171.0,0.0,0
1000 90125,A,8300 0489,2016-02-26,41.0,41.0,3472.0,0.0,0
1000 90125,A,8300 0647,2016-02-26,41.0,41.0,2393.0,0.0,0
1000 90125,A,CANT-0039,2016-02-26,41.0,41.0,1725.0,0.0,0
1000 90125,A,CANT-0040,2016-02-26,123.0,123.0,3198.0,280.0,0
1000 90125,A,CLAB-0153,2016-02-26,41.0,41.0,1505.0,0.0,0
1000 90125,A,CPSP-0016,2016-02-26,246.0,246.0,7302.0,800.0,0
1000 5547,E,1601 2876,2016-02-29,9.0,111.0,0.0,0.0,0
1000 6607,B,3300 0032,2016-02-29,170.0,0.005,2127.4049,1572.0,0
1000 6607,B,3300 0203,2016-02-29,204.0,0.006,3183.9,2754.0,0
1000 70210,A,1501 4814,2016-02-29,8.0,23.0,50749.28,0.0,0
1000 70210,A,1501 4819,2016-02-29,8.0,7.0,5770.0,0.0,0
1000 70210,A,1501 6248,2016-02-29,8.0,2.0,7888.0,0.0,0
1000 70210,A,1501 6396,2016-02-29,8.0,1.0,2620.0,0.0,0
1000 70210,A,1501 6480,2016-02-29,8.0,1.0,402.32,1000.0,0
1000 70210,A,1501 6482,2016-02-29,8.0,2.0,5728.2,2000.0,0
1000 70210,A,1501 7014,2016-02-29,8.0,2.0,1913.0,0.0,0
1000 70210,A,1501 7695,2016-02-29,8.0,2.0,1272.0,0.0,0
1000 70210,A,1501 7696,2016-02-29,8.0,2.0,3249.0,0.0,0
